Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of Program,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2007,KABC-TV,ABC,Los Angeles,3,Digital,Animal Exploration with Jarod Miller,Core,SYNDICATED,Saturdays (starting 10/6/07) at 11:30AM-PT,13,1,30,13,16,"Animal Exploration with Jarod Miller is a half-hour live action television program designed to meet the educational and informational needs of children. In each episode is filled with an engaging, energetic journey around the natural world as seen through the eyes of zoologist Jarod Miller and the animals he loves. **11/24/07 - Animal Exploration with Jarod Miller - The LG Skins game schedule to air on the analog channel was preempted for live breaking local news coverage of the wild fires. As a result, the LG Skins game was moved to the digital channel, which caused a unscheduled and unforeseen preemption to Animal Exploration with Jarod Miller.",0,N/A,3,Y
2007,KABC-TV,ABC,Los Angeles,3,Digital,Animal Exploration with Jarod Miller,Core,SYNDICATED,Saturdays (starting 10/20/07) @ 7:00-7:30AM-PT,11,0,30,13,16,"Animal Exploration with Jarod Miller is a half-hour live action television program designed to meet the educational and informational needs of children. In each episode is filled with an engaging, energetic journey around the natural world as seen through the eyes of zoologist Jarod Miller and the animals he loves.",99,N/A,3,Y
2007,KABC-TV,ABC,Los Angeles,3,Digital,Teen Kids News,Core,SYNDICATED,Saturdays @ 7:30-8:00AM-PT,13,0,30,13,16,"Kids anchoring and reporting on important global, national and local news stories from a kid's perspective. This program helps teens and children better understand important current events.",99,N/A,3,Y
2007,KABC-TV,ABC,Los Angeles,3,Digital,Teen Kids News,Core,SYNDICATED,Saturdays @ 11:00-11:30AM-PT,13,1,30,13,16,"Kids anchoring and reporting on important global, national and local news stories from a kid's perspective. This program helps teens and children better understand important current events. **11/24/07 - Teen Kids News - The LG Skins game schedule to air on the analog channel was preempted for live breaking local news coverage of the wild fires. As a result, the LG Skins game was moved to the digital channel, which caused a unscheduled and unforeseen preemption to Teen Kids News.",1,N/A,3,Y
2007,KABC-TV,ABC,Los Angeles,3,Digital,Jack Hanna's Animal Adventures,Core,SYNDICATED,Saturdays @ 8:00-8:30AM-PT AND 8:30-9:00AM-PT AND 9:00-9:30AM-PT AND 10:00-10:30AM-PT AND 10:30-11:0,13,2,30,13,16,"All Jack Hanna's Animal Adventures live action television programs and specials are designed to meet the educational and informational needs of children 13 to 16 years of age. In all programs cameras follow Jack as he spends time with natures creatures across the continents. Jack interacts with people that are knowledgeable about animals and their habitats, and educates as he travels the globe. Each program is designed to reveal to children the world around them in a way that presents positive role models and pro-social values within an environmentally responsible universe. **11/24/07 - Jack Hann's Animal Adventure - The LG Skins game schedule to air on the analog channel was preempted for live breaking local news coverage of the wild fires. As a result, the LG Skins game was moved to the digital channel, which caused a unscheduled and unforeseen preemption to Jack Hanna's Animal Adventures.",0,N/A,3,Y
2007,KABC-TV,ABC,Los Angeles,3,Digital,B In-Tune,Core,SYNDICATED,Saturdays @ 12:00-12:30PM-PT,13,1,30,13,16,"B In Tune is supported by the In Tune Foundation Group. ITFG is a non-profit 501 c3, funded in part by the U.S. Congress and the United States Department of Education through a congressional line item. The Foundation is dedicated to improving the quality of life in communities throughout the United States and around the world. Committed to educational excellence through music and the arts, as well as the health and human services for all youth. **11/24/07 - B In-Tune - College football aired on the analog channel. Live local breaking news coverage of the wild fires was then scheduled on the digital channel. As a result, the live breaking news coverge was moved to the digital channel, which caused a unscheduled and unforeseen preemption to B In-Tune.",0,N/A,3,Y
2007,KABC-TV,ABC,Los Angeles,3,Digital,Whaddyado,Core,SYNDICATED,Saturdays @ 12:30-1:00PM-PT,13,1,30,13,16,"Whaddyado is a half-hour weekly educational series designed to educate, inform, inspire and entertain children 13-16 about the world around them. Each episode is an educational life-lesson, based in reality, intended to prepare young people for potential situations that could easily crop up at any time, anywhere. **11/24/07 - Whaddyado- College football aired on the analog channel. Live local breaking news coverage of the wild fires was then scheduled on the digital channel. As a result, the live breaking news coverge was moved to the digital channel, which caused a unscheduled and unforeseen preemption to Whaddyado.",0,N/A,3,Y
2007,KABC-TV,ABC,Los Angeles,3,Digital,Whaddyado,Non-Core,SYNDICATED,Sundays @ 6:00-6:30AM-PT,13,0,30,13,16,"Whaddyado is a half-hour weekly educational series designed to educate, inform, inspire and entertain children 13-16 about the world around them. Each episode is an educational life-lesson, based in reality, intended to prepare young people for potential situations that could easily crop up at any time, anywhere",99,N/A,3,Y
2007,KABC-TV,ABC,Los Angeles,3,Digital,Whaddyado,Non-Core,SYNDICATED,Sundays @ 6:00-6:30AM-PT,13,0,30,13,16,"Whaddyado is a half-hour weekly educational series designed to educate, inform, inspire and entertain children 13-16 about the world around them. Each episode is an educational life-lesson, based in reality, intended to prepare young people for potential situations that could easily crop up at any time, anywhere.",99,N/A,3,Y
2007,KABC-TV,ABC,Los Angeles,3,Digital,B In-Tune,Non-Core,SYNDICATED,Saturdays @ 6:30-7:00AM-PT,13,0,30,13,16,"B In Tune is supported by the In Tune Foundation Group. ITFG is a non-profit 501 c3, funded in part by the U.S. Congress and the United States Department of Education through a congressional line item. The Foundation is dedicated to improving the quality of life in communities throughout the United States and around the world. Committed to educational excellence through music and the arts, as well as the health and human services for all youth.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Analog,Kenny the Shark,Core,Network,Saturday & Sunday 7:00-7:30am 10/6/07-11/25/07,16,0,30,2,7,"*Kenny the Shark Kenny is a animated shark who one day left the water to investigate life on land, including what is for dinner at the nearest pet shop. Kat, a precocious nine year-old girl discovers him at the store and it is ""love at first sight."" Finally, she has a pet she can be proud to own. Kenny, having his fill of a lonely life on land, decides life in this little girl's house may be a great way to eat for free and have a home-base from which to conduct his daily neighborhood feeding frenzies. For Kat, she now has a playmate, confidante and very useful, very large big brother. For her Dad, who is a big kid himself, he finally has a guy around the house with whom he can compete over dinner. Mom, a high-powered TV exec has Kenny at arm's length, though she is proud to know her daughter would not settle for anything less than a shark for a pet. Join the hilarity as Kenny explores and manipulates this animated suburban world and life out of the sea.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Analog,Kenny the Shark,Core,Network,Mondays & Tuesdays 7:30-8:00am 11/26/07-12/31/07,11,0,30,2,7,"*Kenny the Shark Kenny is a animated shark who one day left the water to investigate life on land, including what is for dinner at the nearest pet shop. Kat, a precocious nine year-old girl discovers him at the store and it is ""love at first sight."" Finally, she has a pet she can be proud to own. Kenny, having his fill of a lonely life on land, decides life in this little girl's house may be a great way to eat for free and have a home-base from which to conduct his daily neighborhood feeding frenzies. For Kat, she now has a playmate, confidante and very useful, very large big brother. For her Dad, who is a big kid himself, he finally has a guy around the house with whom he can compete over dinner. Mom, a high-powered TV exec has Kenny at arm's length, though she is proud to know her daughter would not settle for anything less than a shark for a pet. Join the hilarity as Kenny explores and manipulates this animated suburban world and life out of the sea.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Analog,Tutenstein,Core,Network,Satudays & Sundays 7:30-8:00am 10/06/07-11/25/07,16,0,30,7,14,"Tutenstein Tutenstein is a half-hour, animated series that incorporates real Egyptian content into funny, sometimes scary, adventures as Tut learns life and leadership lessons-- the hard way.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Analog,Tutenstein,Core,Network,Thursday & Fridays 7:30-8:00am 11/29/07-12/28/07,10,0,30,7,14,"Tutenstein Tutenstein is a half-hour, animated series that incorporates real Egyptian content into funny, sometimes scary, adventures as Tut learns life and leadership lessons-- the hard way.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Analog,Darcys Wildlife ,Core,Network,Saturday & Sundays 8:00-8:30am 10/06/07-11/25/07,16,0,30,7,14,"*Darcy's Wildlife Darcy Fields, fourteen-year-old daughter of movie star Victoria Fields, enjoys a dream life -- Malibu beach-house, private jets, limos, every luxury a kid could imagine. So, when her mother decides to quit the Hollywood rat-race and take Darcy to live on a ranch near the tiny town of Bailey in heartland America, Darcy can't see how it's in any way a good idea. Luckily, Darcy is blessed with a good heart and a sweet, generous personality, and although she misses the spectacular charms of her old life, she quickly discovers reserves of resilience and ability she had no idea she possessed. She finds herself working part-time at the local veterinary clinic/animal supply store, and making friends with the veterinarian's daughter, Lindsay, a no-nonsense country girl who is skeptical of Darcy's pampered life, but impressed by her unconquerable good cheer. Darcy, much to her disbelief, settles into dealing with animals she never even knew existed, building friendships with Bailey's quirky locals, and generally adapting to a life she never dreamt she would lead. There's always something exciting and new for Darcy to experience in DARCY'S WILDLIFE.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Analog,Darcys Wildlife ,Core,Network,Wednesday 7:30-8:00am 11/28/07-12/26/07,5,0,30,7,14,"*Darcy's Wildlife Darcy Fields, fourteen-year-old daughter of movie star Victoria Fields, enjoys a dream life -- Malibu beach-house, private jets, limos, every luxury a kid could imagine. So, when her mother decides to quit the Hollywood rat-race and take Darcy to live on a ranch near the tiny town of Bailey in heartland America, Darcy can't see how it's in any way a good idea. Luckily, Darcy is blessed with a good heart and a sweet, generous personality, and although she misses the spectacular charms of her old life, she quickly discovers reserves of resilience and ability she had no idea she possessed. She finds herself working part-time at the local veterinary clinic/animal supply store, and making friends with the veterinarian's daughter, Lindsay, a no-nonsense country girl who is skeptical of Darcy's pampered life, but impressed by her unconquerable good cheer. Darcy, much to her disbelief, settles into dealing with animals she never even knew existed, building friendships with Bailey's quirky locals, and generally adapting to a life she never dreamt she would lead. There's always something exciting and new for Darcy to experience in DARCY'S WILDLIFE.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Analog,Darcys Wildlife ,Core,Network,Fridays 8:00-8:30am 11/30/07-12/28/07,5,0,30,7,14,"*Darcy's Wildlife Darcy Fields, fourteen-year-old daughter of movie star Victoria Fields, enjoys a dream life -- Malibu beach-house, private jets, limos, every luxury a kid could imagine. So, when her mother decides to quit the Hollywood rat-race and take Darcy to live on a ranch near the tiny town of Bailey in heartland America, Darcy can't see how it's in any way a good idea. Luckily, Darcy is blessed with a good heart and a sweet, generous personality, and although she misses the spectacular charms of her old life, she quickly discovers reserves of resilience and ability she had no idea she possessed. She finds herself working part-time at the local veterinary clinic/animal supply store, and making friends with the veterinarian's daughter, Lindsay, a no-nonsense country girl who is skeptical of Darcy's pampered life, but impressed by her unconquerable good cheer. Darcy, much to her disbelief, settles into dealing with animals she never even knew existed, building friendships with Bailey's quirky locals, and generally adapting to a life she never dreamt she would lead. There's always something exciting and new for Darcy to experience in DARCY'S WILDLIFE.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Analog,Endurance,Non-Core,Network,Saturdays & Sundays 6:30-7:00am 10/06/07-12/30/07,26,0,30,12,15,"*Endurance ENDURANCE shows kids ages twelve to fifteen succeeding at several different physical, intellectual and strategic challenges in order to win an amazing travel prize. Each of the competitive challenges are a metaphor for the challenges teens face in real life. In addition, there are challenges based on ten character traits that are important for success. Contestants must estimate probabilities and beat the odds. Overall, the competition balances luck or fate against personal effort so that the contestants learn to balance intellect with intuition in developing their",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Digital,Kenny the Shark,Core,Network,Saturday & Sunday 7:00-7:30am 10/6/07-11/25/07,16,0,30,2,7,"*Kenny the Shark Kenny is a animated shark who one day left the water to investigate life on land, including what is for dinner at the nearest pet shop. Kat, a precocious nine year-old girl discovers him at the store and it is ""love at first sight."" Finally, she has a pet she can be proud to own. Kenny, having his fill of a lonely life on land, decides life in this little girl's house may be a great way to eat for free and have a home-base from which to conduct his daily neighborhood feeding frenzies. For Kat, she now has a playmate, confidante and very useful, very large big brother. For her Dad, who is a big kid himself, he finally has a guy around the house with whom he can compete over dinner. Mom, a high-powered TV exec has Kenny at arm's length, though she is proud to know her daughter would not settle for anything less than a shark for a pet. Join the hilarity as Kenny explores and manipulates this animated suburban world and life out of the sea.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Digital,Kenny the Shark,Core,Network,Mondays & Tuesdays 7:30-8:00am 11/26/07-12/31/07,11,0,30,2,7,"*Kenny the Shark Kenny is a animated shark who one day left the water to investigate life on land, including what is for dinner at the nearest pet shop. Kat, a precocious nine year-old girl discovers him at the store and it is ""love at first sight."" Finally, she has a pet she can be proud to own. Kenny, having his fill of a lonely life on land, decides life in this little girl's house may be a great way to eat for free and have a home-base from which to conduct his daily neighborhood feeding frenzies. For Kat, she now has a playmate, confidante and very useful, very large big brother. For her Dad, who is a big kid himself, he finally has a guy around the house with whom he can compete over dinner. Mom, a high-powered TV exec has Kenny at arm's length, though she is proud to know her daughter would not settle for anything less than a shark for a pet. Join the hilarity as Kenny explores and manipulates this animated suburban world and life out of the sea.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Digital,Tutenstein,Core,Network,Satudays & Sundays 7:30-8:00am 10/06/07-11/25/07,16,0,30,7,14,"Tutenstein Tutenstein is a half-hour, animated series that incorporates real Egyptian content into funny, sometimes scary, adventures as Tut learns life and leadership lessons-- the hard way.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Digital,Tutenstein,Core,Network,Thursday & Fridays 7:30-8:00am 11/29/07-12/28/07,10,0,30,7,14,"Tutenstein Tutenstein is a half-hour, animated series that incorporates real Egyptian content into funny, sometimes scary, adventures as Tut learns life and leadership lessons-- the hard way.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Digital,Darcys Wildlife,Core,Network,Saturday & Sundays 8:00-8:30am 10/06/07-11/25/07,16,0,30,7,14,"*Darcy's Wildlife Darcy Fields, fourteen-year-old daughter of movie star Victoria Fields, enjoys a dream life -- Malibu beach-house, private jets, limos, every luxury a kid could imagine. So, when her mother decides to quit the Hollywood rat-race and take Darcy to live on a ranch near the tiny town of Bailey in heartland America, Darcy can't see how it's in any way a good idea. Luckily, Darcy is blessed with a good heart and a sweet, generous personality, and although she misses the spectacular charms of her old life, she quickly discovers reserves of resilience and ability she had no idea she possessed. She finds herself working part-time at the local veterinary clinic/animal supply store, and making friends with the veterinarian's daughter, Lindsay, a no-nonsense country girl who is skeptical of Darcy's pampered life, but impressed by her unconquerable good cheer. Darcy, much to her disbelief, settles into dealing with animals she never even knew existed, building friendships with Bailey's quirky locals, and generally adapting to a life she never dreamt she would lead. There's always something exciting and new for Darcy to experience in DARCY'S WILDLIFE.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Digital,Darcys Wildlife,Core,Network,Wednesday 7:30-8:00am 11/28/07-12/26/07,5,0,30,7,14,"*Darcy's Wildlife Darcy Fields, fourteen-year-old daughter of movie star Victoria Fields, enjoys a dream life -- Malibu beach-house, private jets, limos, every luxury a kid could imagine. So, when her mother decides to quit the Hollywood rat-race and take Darcy to live on a ranch near the tiny town of Bailey in heartland America, Darcy can't see how it's in any way a good idea. Luckily, Darcy is blessed with a good heart and a sweet, generous personality, and although she misses the spectacular charms of her old life, she quickly discovers reserves of resilience and ability she had no idea she possessed. She finds herself working part-time at the local veterinary clinic/animal supply store, and making friends with the veterinarian's daughter, Lindsay, a no-nonsense country girl who is skeptical of Darcy's pampered life, but impressed by her unconquerable good cheer. Darcy, much to her disbelief, settles into dealing with animals she never even knew existed, building friendships with Bailey's quirky locals, and generally adapting to a life she never dreamt she would lead. There's always something exciting and new for Darcy to experience in DARCY'S WILDLIFE.",99,N/A,3,Y
2007,KAZA,Azteca America,Los Angeles,3,Digital,Darcys Wildlife,Core,Network,Fridays 8:00-8:30am 11/30/07-12/28/07,5,0,30,7,14,"*Darcy's Wildlife Darcy Fields, fourteen-year-old daughter of movie star Victoria Fields, enjoys a dream life -- Malibu beach-house, private jets, limos, every luxury a kid could imagine. So, when her mother decides to quit the Hollywood rat-race and take Darcy to live on a ranch near the tiny town of Bailey in heartland America, Darcy can't see how it's in any way a good idea. Luckily, Darcy is blessed with a good heart and a sweet, generous personality, and although she misses the spectacular charms of her old life, she quickly discovers reserves of resilience and ability she had no idea she possessed. She finds herself working part-time at the local veterinary clinic/animal supply store, and making friends with the veterinarian's daughter, Lindsay, a no-nonsense country girl who is skeptical of Darcy's pampered life, but impressed by her unconquerable good cheer. Darcy, much to her disbelief, settles into dealing with animals she never even knew existed, building friendships with Bailey's quirky locals, and generally adapting to a life she never dreamt she would lead. There's always something exciting and new for Darcy to experience in DARCY'S WILDLIFE.",99,N/A,3,Y
2007,KBBC-TV,N/A,Los Angeles,5,Analog,Super Book; Spanish Language,Core,SYNDICATED,Monday-Sunday 1pm-2pm,28,0,30,3,10,Super Book is a program specially designed for children under the ages of 16. It airs during core hours and tecahes children moral values with stories.,99,N/A,N/A,N/A
